Source JSON Level,DHDP Data Group,DHDP Data Catalog Identifier,OMOP Table,Target Field,Instruction,MOHCCN Source Schema,Source Field,Value,Vocab,Requirement Rule,Description
,,,,value_as_concept_id,Concept ID By Term,Exposure,tobacco_smoking_status,,,Skip Record,
,,,,value_source_value,Copy Value,Exposure,tobacco_smoking_status,,,,
,OMOP Cigarette Pack Years Observation,,observation,observation_id,Generate Unique ID From Path,Donor,submitter_donor_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,4151768,SNOMED,,Pack years
,,,,observation_event_id,Get Unique ID From Path,Donor,submitter_donor_id,OMOP Tobacco Smoking Status Observation,,Skip Record,
,,,,obs_event_field_concept_id,Fixed Value,N/A,N/A,1147165,CDM,,observation.observation_id
,,,,value_as_number,Copy Value,Exposure,pack_years_smoked,,,Skip Record,
,OMOP Tobacco Type Observation,,observation,observation_id,Generate Unique ID From Path,Donor,submitter_donor_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,37172639,SNOMED,,Type of tobacco used
,,,,observation_event_id,Get Unique ID From Path,Donor,submitter_donor_id,OMOP Tobacco Smoking Status Observation,,Skip Record,
,,,,obs_event_field_concept_id,Fixed Value,N/A,N/A,1147165,CDM,,observation.observation_id
,,,,value_as_concept_id,Fixed Value,N/A,N/A,0,,,
,,,,value_source_value,Concatenate Values,Exposure,tobacco_type,,,Skip Record,
$.donors[].comorbidities[],OMOP Comorbidity Condition,,condition_occurrence,condition_occurrence_id,Generate Unique ID From Path,Donor,submitter_donor_id,,,,
,,,,condition_concept_id,Concept ID By Code,Comorbidity,comorbidity_type_code,,ICD10,Placeholder:{missing_concept_id_value},
,,,,condition_source_value,Copy Value,Comorbidity,comorbidity_type_code,,,,
,,,,condition_start_date,Calculate Date From Age,Comorbidity,age_at_comorbidity_diagnosis,,,Placeholder:{missing_date_value},
,,,,condition_status_concept_id,Concept ID By Term,Comorbidity,prior_malignancy,,,,
,,,,condition_status_source_value,Copy Value,Comorbidity,prior_malignancy,,,,
,OMOP Comorbidity Laterality Measurement,,measurement,measurement_id,Generate Unique ID From Path,Donor,submitter_donor_id,,,,
,,,,measurement_concept_id,Fixed Value,N/A,N/A,35918306,NAACCR,,
,,,,measurement_event_id,Get Unique ID,Comorbidity,$.donors[].comorbidities[],OMOP Comorbidity Condition,,,
,,,,meas_event_field_concept_id,Fixed Value,N/A,N/A,1147127,CDM,,
,,,,value_as_concept_id,Concept ID By Term,Comorbidity,laterality_of_prior_malignancy,,,,
,,,,value_source_value,Copy Value,Comorbidity,laterality_of_prior_malignancy,,,,
,MOHCCN Comorbidity Incomplete Modeling,Will probably need to create a comorbidity episode and link procedure_occurrence via episode_event,,,,Comorbidity,comorbidity_treatment_status,,,,
,,,,,,Comorbidity,comorbidity_treatment,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,MOHCCN Sample Registration Incomplete Modeling,,,,,Sample Registration,submitter_specimen_id,,,,
,,,,,,Sample Registration,specimen_tissue_source,,,,
,,,,,,Sample Registration,tumour_normal_designation,,,,
,,,,,,Sample Registration,specimen_type,,,,
,,,,,,Sample Registration,submitter_sample_id,,,,
,,,,,,Sample Registration,sample_type,,,,
